analysis,split,percentile,value
exact_shap_rank34_margin_scaled,val,0,1.2740492820739746e-06
exact_shap_rank34_margin_scaled,val,1,0.00041101500391960144
exact_shap_rank34_margin_scaled,val,5,0.00041101500391960144
exact_shap_rank34_margin_scaled,val,10,0.00041111186146736145
exact_shap_rank34_margin_scaled,val,25,0.008280392736196518
exact_shap_rank34_margin_scaled,val,50,0.04401342198252678
exact_shap_rank34_margin_scaled,val,75,0.3419659547507763
exact_shap_rank34_margin_scaled,val,90,0.4528530202805996
exact_shap_rank34_margin_scaled,val,95,0.7741131298244
exact_shap_rank34_margin_scaled,val,99,0.8489036893844605
exact_shap_rank34_margin_scaled,val,99.9,1.0554615816473962
exact_shap_rank34_margin_scaled,val,100,1.907890658825636
exact_shap_rank34_margin_scaled,test,0,1.2740492820739746e-06
exact_shap_rank34_margin_scaled,test,1,0.00041101500391960144
exact_shap_rank34_margin_scaled,test,5,0.00041101500391960144
exact_shap_rank34_margin_scaled,test,10,0.00041111186146736145
exact_shap_rank34_margin_scaled,test,25,0.008280392736196518
exact_shap_rank34_margin_scaled,test,50,0.04401342198252678
exact_shap_rank34_margin_scaled,test,75,0.35519240610301495
exact_shap_rank34_margin_scaled,test,90,0.4534696899354458
exact_shap_rank34_margin_scaled,test,95,0.7741132266819477
exact_shap_rank34_margin_scaled,test,99,0.8552216514199972
exact_shap_rank34_margin_scaled,test,99.9,1.055448083870113
exact_shap_rank34_margin_scaled,test,100,5.0735276117920876
