analysis,split,percentile,value
float_quantized_lr_absolute_score_error,val,0,1.731313608033247e-07
float_quantized_lr_absolute_score_error,val,1,0.0014810384437291683
float_quantized_lr_absolute_score_error,val,5,0.00536310868966694
float_quantized_lr_absolute_score_error,val,10,0.007879802567182681
float_quantized_lr_absolute_score_error,val,25,0.012204777805927103
float_quantized_lr_absolute_score_error,val,50,0.023668385094655298
float_quantized_lr_absolute_score_error,val,75,0.051012477326336736
float_quantized_lr_absolute_score_error,val,90,0.1114262014620607
float_quantized_lr_absolute_score_error,val,95,0.11688922587122191
float_quantized_lr_absolute_score_error,val,99,0.21847112920202774
float_quantized_lr_absolute_score_error,val,99.9,0.5806454179192397
float_quantized_lr_absolute_score_error,val,100,161.20808244108775
float_quantized_lr_absolute_score_error,test,0,3.328035682592656e-07
float_quantized_lr_absolute_score_error,test,1,0.0014460452336627716
float_quantized_lr_absolute_score_error,test,5,0.005356255710876834
float_quantized_lr_absolute_score_error,test,10,0.007872251132749098
float_quantized_lr_absolute_score_error,test,25,0.012179351905451385
float_quantized_lr_absolute_score_error,test,50,0.023538451918748482
float_quantized_lr_absolute_score_error,test,75,0.05099167733169008
float_quantized_lr_absolute_score_error,test,90,0.11137988594704425
float_quantized_lr_absolute_score_error,test,95,0.11691256437874084
float_quantized_lr_absolute_score_error,test,99,0.21958099524083718
float_quantized_lr_absolute_score_error,test,99.9,0.6137703248929328
float_quantized_lr_absolute_score_error,test,100,154.91102153826614
